Dataset,Images,Box mIoU,Box Dice,Box Precision,Box Recall,Box Latency (ms),Box FPS,1-Click mIoU,1-Click Dice,1-Click Precision,1-Click Recall,1-Click Latency (ms),1-Click FPS
Original,232,58.79391274792667,68.19812859304594,65.1390531853717,79.3798637539575,360.34065657758146,2.775151739739087,36.052367512247265,44.95156133274257,76.8692785112359,43.94251711391403,363.201041991372,2.7532960657743804
Enhanced,232,58.75468954483358,68.05824777802023,65.25368942440666,78.92316075002086,362.9026206896456,2.7555601502674194,36.79428340591196,45.677783187712585,77.69614597619785,44.31149645603907,366.39085617243296,2.729325754596273
