Image,Box IoU,Box Dice,Box Precision,Box Recall,Box Latency (ms),1-Click IoU,1-Click Dice,1-Click Precision,1-Click Recall,1-Click Latency (ms)
0001TP_006690.png,10.2533660037322,18.599642578504337,10.378950598077658,89.44468927072616,359.3651090000094,23.625128728398533,38.22059312925348,78.34699448200342,25.275451735285266,363.71377200021016
0001TP_006720.png,75.23469603640646,85.86735131583283,75.71955347314642,99.15606860025113,360.82433499996114,56.971210032089445,72.58810073572458,88.1203629957239,61.71083240967471,360.8107029999701
0001TP_006750.png,79.12594997768976,88.34671915213283,79.73415898268253,99.04517710503387,360.88549899977806,0.9910998249515154,1.9627468691189514,99.9999999644634,0.9910998249515154,362.35101800002667
0001TP_006780.png,77.97678138481577,87.6257911600467,78.67179837703607,98.87974120826996,360.23456199973225,54.10540426113268,70.21869806648792,90.67465947733,57.29344878315281,420.6043670001236
0001TP_006810.png,92.1023964639965,95.88885735869327,98.83109287035002,93.11674003682998,361.49949799983006,92.21556881207644,95.95015573606624,98.77551014648658,93.28193827462448,363.61628800023027
0001TP_006840.png,56.81211036793222,72.45883016896147,57.52930562891856,97.8527605861154,360.90588600018236,50.83665334594688,67.40623345620378,51.410153060910424,97.8527605861154,362.50434400017184
0001TP_006870.png,77.87748728916213,87.56306205580981,91.47571031554735,83.97139247624258,360.62959500031866,70.58121016298519,82.75379227940401,92.9245282531842,74.5898190683257,361.78099099970495
0001TP_006900.png,1.4999255945802223,2.955520579534915,2.722369184062007,3.2323480032141223,398.9693329999682,6.655983409467352,12.48121895592879,99.11566534262835,6.659938503266681,402.1935580003628
0001TP_006930.png,80.39412154963456,89.13164227196229,97.09560302658508,82.37508552964576,386.7841229998703,74.04580150214211,85.08771928201988,96.08096464423731,76.3518138000165,385.4586380002729
0001TP_006960.png,20.518690752628892,34.050636668041165,22.045851989506584,74.76050830402342,378.71098300001904,66.30717502592735,79.74060651994122,96.15455380900141,68.11339197992092,378.17532400003984
0001TP_006990.png,79.781662603837,88.75394903833119,94.46288208781984,83.69573627766805,371.10790399992766,1.584618635003548,3.1198003325624097,14.990006652238502,1.7410817920187973,367.4059519998991
0001TP_007020.png,86.12024424275401,92.54258674884242,98.161863116884,87.5318268583891,364.7696289999658,79.27088248862391,88.4369858486687,98.57205730849566,80.19175683958498,366.9023140000718
0001TP_007050.png,81.19900856962721,89.62412014348945,99.98410427277112,81.20949208352805,363.0414990002464,80.79882267683573,89.37981064318934,99.98402555591105,80.80925452317997,366.84006199993746
0001TP_007080.png,93.29819958171315,96.53292144842054,99.02294987279087,94.16504964971658,362.22071799966216,92.56198346897855,96.13733905466357,99.12706110331894,93.32268005722354,364.9415479999334
0001TP_007110.png,78.43914469889587,87.91697004741499,93.3707305540546,83.06515554118126,362.79559200011136,77.90330695517763,87.57938038195682,97.58221610812473,79.43659344061759,364.10628100020404
